Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.5708,1.1568,0.5041,0.5665,0.5075,0.5744,1.1470,0.5011,0.5166,0.5675,0.4845,1.3626,0.4737,0.4700,0.4843
2,0.5627,1.1585,0.5202,0.5521,0.5407,0.5662,1.1469,0.5101,0.5373,0.5365,0.5946,1.0900,0.5853,0.5828,0.5944
3,0.6204,1.0173,0.5819,0.6077,0.5858,0.6303,1.0049,0.5895,0.5935,0.6090,0.6298,0.9850,0.6246,0.6229,0.6315
4,0.5821,1.1261,0.5428,0.5914,0.5423,0.5937,1.0998,0.5503,0.5541,0.5905,0.6552,0.9113,0.6492,0.6484,0.6547
5,0.6303,1.0102,0.6134,0.6181,0.6153,0.6254,1.0113,0.5933,0.5942,0.5992,0.6845,0.8442,0.6795,0.6790,0.6837
6,0.6421,1.0182,0.6129,0.6333,0.6104,0.6392,1.0064,0.6040,0.6020,0.6212,0.6942,0.8222,0.6916,0.6910,0.6955
7,0.6268,1.0381,0.5941,0.6234,0.5927,0.6346,1.0126,0.6052,0.6053,0.6231,0.7074,0.7777,0.7049,0.7044,0.7082
8,0.6500,0.9983,0.6326,0.6449,0.6286,0.6625,0.9694,0.6442,0.6440,0.6485,0.7256,0.7413,0.7202,0.7205,0.7229
9,0.6500,0.9991,0.6404,0.6308,0.6573,0.6590,0.9822,0.6378,0.6543,0.6294,0.7398,0.7018,0.7375,0.7373,0.7397
10,0.6761,0.9447,0.6648,0.6610,0.6738,0.6883,0.9146,0.6654,0.6781,0.6580,0.7848,0.5887,0.7839,0.7845,0.7853
11,0.6810,0.9778,0.6712,0.6692,0.6753,0.6797,0.9524,0.6567,0.6646,0.6521,0.8060,0.5299,0.8061,0.8062,0.8074
12,0.6787,1.0210,0.6704,0.6709,0.6818,0.6787,0.9898,0.6633,0.6781,0.6604,0.8230,0.4919,0.8229,0.8230,0.8235
13,0.6825,1.0130,0.6722,0.6698,0.6814,0.6865,0.9928,0.6625,0.6741,0.6582,0.8387,0.4498,0.8373,0.8375,0.8376
14,0.6832,1.0712,0.6761,0.6651,0.6973,0.6834,1.0397,0.6586,0.6775,0.6480,0.8488,0.4180,0.8476,0.8478,0.8481
15,0.6839,1.0853,0.6775,0.6608,0.7054,0.6853,1.0614,0.6594,0.6812,0.6462,0.8587,0.3928,0.8591,0.8590,0.8595
16,0.6769,1.1279,0.6700,0.6634,0.6811,0.6818,1.0944,0.6570,0.6738,0.6469,0.8709,0.3618,0.8705,0.8705,0.8707
17,0.6733,1.1499,0.6709,0.6567,0.6922,0.6745,1.1255,0.6544,0.6821,0.6381,0.8772,0.3434,0.8767,0.8766,0.8770
18,0.6771,1.1972,0.6714,0.6623,0.6847,0.6804,1.1997,0.6583,0.6690,0.6505,0.8865,0.3191,0.8864,0.8866,0.8864
19,0.6807,1.1934,0.6738,0.6675,0.6874,0.6815,1.1831,0.6595,0.6710,0.6535,0.9096,0.2629,0.9095,0.9094,0.9097
20,0.6785,1.2192,0.6713,0.6633,0.6862,0.6851,1.1949,0.6627,0.6798,0.6531,0.9153,0.2473,0.9154,0.9154,0.9155
21,0.6849,1.2509,0.6797,0.6672,0.7001,0.6897,1.2293,0.6678,0.6926,0.6534,0.9214,0.2263,0.9212,0.9212,0.9213
22,0.6854,1.2678,0.6827,0.6710,0.6999,0.6837,1.2601,0.6643,0.6840,0.6519,0.9270,0.2165,0.9267,0.9267,0.9267
23,0.6799,1.3139,0.6747,0.6678,0.6873,0.6811,1.2943,0.6577,0.6738,0.6489,0.9290,0.2030,0.9291,0.9292,0.9291
24,0.6799,1.3100,0.6758,0.6663,0.6911,0.6792,1.2879,0.6589,0.6767,0.6479,0.9319,0.1961,0.9314,0.9315,0.9315
25,0.6853,1.3459,0.6768,0.6655,0.6951,0.6839,1.3230,0.6597,0.6778,0.6483,0.9387,0.1790,0.9384,0.9384,0.9384
26,0.6853,1.4212,0.6769,0.6660,0.6977,0.6813,1.3913,0.6583,0.6807,0.6465,0.9406,0.1742,0.9405,0.9405,0.9405
27,0.6822,1.4143,0.6758,0.6667,0.6913,0.6790,1.3864,0.6580,0.6763,0.6484,0.9460,0.1628,0.9463,0.9462,0.9463
28,0.6822,1.4308,0.6767,0.6683,0.6918,0.6787,1.4056,0.6561,0.6753,0.6452,0.9465,0.1561,0.9465,0.9466,0.9465
29,0.6819,1.4239,0.6759,0.6666,0.6903,0.6803,1.3984,0.6597,0.6764,0.6491,0.9476,0.1528,0.9476,0.9476,0.9476
30,0.6842,1.4332,0.6788,0.6673,0.6964,0.6837,1.4106,0.6626,0.6814,0.6503,0.9510,0.1436,0.9515,0.9515,0.9515
31,0.6831,1.4353,0.6777,0.6653,0.6964,0.6853,1.4114,0.6657,0.6866,0.6524,0.9520,0.1412,0.9518,0.9518,0.9519
32,0.6840,1.4352,0.6790,0.6678,0.6958,0.6858,1.4181,0.6637,0.6829,0.6515,0.9535,0.1404,0.9534,0.9534,0.9535
33,0.6811,1.4641,0.6752,0.6675,0.6893,0.6834,1.4448,0.6629,0.6833,0.6517,0.9533,0.1360,0.9532,0.9532,0.9533
34,0.6824,1.5009,0.6743,0.6667,0.6863,0.6872,1.4714,0.6652,0.6842,0.6536,0.9549,0.1291,0.9549,0.9549,0.9549
35,0.6821,1.4825,0.6771,0.6664,0.6926,0.6881,1.4594,0.6670,0.6892,0.6534,0.9562,0.1310,0.9564,0.9564,0.9564
36,0.6821,1.4896,0.6754,0.6656,0.6908,0.6834,1.4678,0.6627,0.6825,0.6505,0.9558,0.1274,0.9555,0.9555,0.9555
37,0.6814,1.4656,0.6764,0.6666,0.6910,0.6837,1.4378,0.6631,0.6784,0.6528,0.9579,0.1275,0.9581,0.9581,0.9582
38,0.6790,1.5048,0.6725,0.6638,0.6860,0.6823,1.4782,0.6629,0.6798,0.6520,0.9569,0.1270,0.9569,0.9569,0.9569
39,0.6817,1.5042,0.6739,0.6649,0.6903,0.6801,1.4783,0.6588,0.6812,0.6472,0.9582,0.1207,0.9584,0.9584,0.9585
40,0.6857,1.4964,0.6806,0.6679,0.6994,0.6829,1.4809,0.6613,0.6861,0.6465,0.9600,0.1218,0.9600,0.9600,0.9600
41,0.6810,1.4880,0.6748,0.6658,0.6911,0.6816,1.4637,0.6613,0.6810,0.6501,0.9574,0.1246,0.9576,0.9576,0.9576
