Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.6102,1.1043,0.5182,0.5884,0.5045,0.6,1.1107,0.5145,0.5044,0.5845,0.4612,1.5393,0.4613,0.463,0.4603
2,0.633,1.0364,0.5665,0.6495,0.5548,0.6358,1.035,0.5677,0.5586,0.6483,0.667,0.9218,0.6671,0.6685,0.6662
3,0.7233,0.8018,0.657,0.6833,0.6411,0.7141,0.8503,0.6524,0.6356,0.6814,0.7339,0.7337,0.7345,0.7361,0.7336
4,0.7757,0.6501,0.6811,0.7069,0.6664,0.7589,0.7019,0.6699,0.6572,0.6993,0.7733,0.6422,0.774,0.775,0.7735
5,0.7565,0.7318,0.666,0.7122,0.6469,0.7475,0.7964,0.6587,0.6399,0.7086,0.8029,0.5507,0.8037,0.8049,0.8029
6,0.7774,0.6523,0.7083,0.7065,0.7114,0.7633,0.7159,0.6902,0.6845,0.6992,0.8238,0.4879,0.8237,0.8245,0.8233
7,0.7718,0.6881,0.6974,0.7294,0.6847,0.7564,0.7794,0.6855,0.6649,0.7226,0.8348,0.4598,0.8348,0.8354,0.8345
8,0.7565,0.7345,0.6863,0.7195,0.6715,0.7491,0.7719,0.6735,0.6605,0.7062,0.8473,0.4184,0.8464,0.8469,0.8461
9,0.7846,0.6631,0.6912,0.727,0.6791,0.7662,0.7389,0.68,0.6692,0.7159,0.8583,0.3961,0.8594,0.8603,0.8589
10,0.8181,0.6052,0.7397,0.7475,0.7379,0.8041,0.6704,0.7229,0.7153,0.7349,0.9082,0.2685,0.9084,0.9085,0.9085
11,0.8269,0.5993,0.746,0.7493,0.7484,0.8098,0.6576,0.7207,0.7193,0.7283,0.9285,0.2022,0.9289,0.9291,0.9288
12,0.8233,0.6272,0.749,0.7531,0.7488,0.7947,0.7012,0.7163,0.7103,0.726,0.9338,0.1887,0.934,0.9343,0.9339
13,0.8139,0.6675,0.7352,0.756,0.7219,0.8069,0.7246,0.7157,0.7011,0.7346,0.9427,0.1648,0.9431,0.9432,0.9431
14,0.8129,0.6794,0.7475,0.7582,0.7426,0.7988,0.75,0.7262,0.7196,0.736,0.9491,0.1511,0.9492,0.9492,0.9493
15,0.8142,0.6872,0.7404,0.7516,0.7366,0.8033,0.746,0.7199,0.7104,0.7334,0.9537,0.1345,0.9536,0.9537,0.9536
16,0.8237,0.6332,0.7309,0.7278,0.7428,0.8122,0.7057,0.7203,0.7277,0.7214,0.9511,0.1401,0.9514,0.9516,0.9513
17,0.8334,0.6466,0.75,0.7438,0.7664,0.8171,0.7392,0.7271,0.7387,0.7228,0.9582,0.1253,0.9583,0.9583,0.9583
18,0.8136,0.7073,0.74,0.7405,0.7498,0.8057,0.7947,0.7314,0.7294,0.7378,0.957,0.1229,0.9569,0.957,0.9569
19,0.8318,0.6643,0.7588,0.7541,0.7663,0.8216,0.7489,0.7463,0.7474,0.7467,0.9708,0.0865,0.9708,0.9708,0.9707
20,0.8253,0.7074,0.7462,0.7336,0.7698,0.8147,0.7735,0.7339,0.7461,0.7277,0.9726,0.0793,0.9727,0.9728,0.9727
21,0.8295,0.6839,0.7518,0.7507,0.757,0.8244,0.7506,0.748,0.7493,0.7493,0.9761,0.0695,0.9763,0.9764,0.9762
22,0.838,0.6894,0.7624,0.7585,0.7724,0.8191,0.7733,0.7375,0.7447,0.7379,0.9774,0.0685,0.9772,0.9773,0.9772
23,0.8243,0.7607,0.7433,0.739,0.7562,0.813,0.8128,0.7419,0.7461,0.7423,0.9798,0.0593,0.9799,0.98,0.9798
24,0.8286,0.7332,0.7494,0.747,0.756,0.82,0.8157,0.7295,0.7318,0.7295,0.9845,0.0502,0.9845,0.9845,0.9845
25,0.8308,0.7398,0.7513,0.7433,0.765,0.8232,0.8331,0.7366,0.7399,0.7359,0.982,0.0546,0.9821,0.9821,0.9821
26,0.8295,0.7583,0.7444,0.7449,0.7507,0.8281,0.8146,0.7518,0.7613,0.7486,0.9841,0.0533,0.9847,0.9847,0.9846
27,0.825,0.7684,0.7489,0.7518,0.7487,0.8204,0.8208,0.7452,0.7437,0.7488,0.984,0.0494,0.984,0.984,0.984
28,0.8295,0.7659,0.7486,0.7469,0.7531,0.8232,0.8329,0.7459,0.7492,0.7469,0.9865,0.0448,0.9866,0.9865,0.9867
